fold,acc,kappa
0,0.8989071038251366,0.9435854684711675
1,0.8989071038251366,0.9300556751729497
2,0.8989071038251366,0.9473019147701631
3,0.8715846994535519,0.9350617849586977
4,0.8989071038251366,0.9492194003662863
original_split,0.9043715846994536,0.9518186808037806
